id;r1;r2;r3;r4;r5;r6;date
1;1;2;5;20;27;33;27/01/2001
2;1;2;11;15;32;34;03/02/2001
3;11;13;27;30;32;39;10/02/2001
4;15;20;21;29;32;44;17/02/2001
5;3;6;16;22;38;44;24/02/2001
6;17;21;26;31;39;40;03/03/2001
7;1;12;22;29;31;33;10/03/2001
8;5;14;18;38;40;45;17/03/2001
9;4;19;25;28;39;41;24/03/2001
10;1;6;13;18;25;41;31/03/2001
11;1;3;15;18;27;37;07/04/2001
12;3;6;13;24;29;31;14/04/2001
13;4;14;15;17;21;25;21/04/2001
14;1;10;19;33;36;40;28/04/2001
15;5;10;21;26;34;40;05/05/2001
16;4;6;15;20;32;43;12/05/2001
17;1;18;19;21;39;43;19/05/2001
18;17;24;30;38;43;44;26/05/2001
19;8;15;23;29;30;37;02/06/2001
20;6;7;12;13;16;25;09/06/2001
21;3;10;11;14;36;41;16/06/2001
22;2;5;15;21;31;41;23/06/2001
23;9;28;33;34;38;45;30/06/2001
24;12;20;23;32;37;40;07/07/2001
25;9;11;21;34;39;42;11/07/2001
26;8;24;33;36;38;44;14/07/2001
27;14;18;21;22;28;34;18/07/2001
28;9;18;21;28;41;43;21/07/2001
29;5;10;18;24;30;44;25/07/2001
30;11;12;21;36;40;41;28/07/2001
31;13;19;21;24;40;43;01/08/2001
32;11;15;26;32;35;36;04/08/2001
33;10;11;21;30;44;45;08/08/2001
34;13;16;21;25;29;43;11/08/2001
35;3;12;14;37;40;44;15/08/2001
36;1;16;19;25;38;44;18/08/2001
37;2;4;9;16;17;23;22/08/2001
38;4;5;8;13;15;36;25/08/2001
39;3;4;9;10;12;42;29/08/2001
40;13;23;25;27;38;40;01/09/2001
41;24;27;36;37;41;43;05/09/2001
42;14;18;22;28;32;35;08/09/2001
43;18;28;30;32;34;37;12/09/2001
44;1;6;7;12;27;34;15/09/2001
45;4;15;25;29;30;44;19/09/2001
46;2;14;21;28;33;37;22/09/2001
47;1;7;11;12;24;39;26/09/2001
48;4;9;13;28;32;43;29/09/2001
49;1;6;11;13;19;36;03/10/2001
50;8;15;16;22;34;38;06/10/2001
51;14;17;28;37;41;43;10/10/2001
52;15;24;25;33;37;43;13/10/2001
53;2;12;14;18;31;45;17/10/2001
54;13;15;22;28;30;38;20/10/2001
55;13;17;27;31;39;42;24/10/2001
56;2;18;22;33;35;45;27/10/2001
