id;r1;r2;r3;r4;r5;r6;r7;r8;r9;r10;r11;r12;date
1201;7;10;16;18;23;30;5;16;21;28;29;38;20/10/2012
1202;5;7;18;19;20;21;8;12;18;22;25;31;24/10/2012
1203;3;4;6;7;23;33;5;9;27;28;40;45;27/10/2012
1204;9;10;21;22;24;28;2;14;29;32;33;44;31/10/2012
1205;8;21;27;29;32;38;5;9;11;20;33;38;03/11/2012
1206;11;18;28;36;43;44;18;20;25;28;33;35;07/11/2012
1207;14;17;22;23;30;31;4;13;22;27;40;41;10/11/2012
1208;9;18;24;28;39;41;5;19;27;31;32;45;14/11/2012
1209;10;20;23;25;41;44;6;9;12;19;23;44;17/11/2012
1210;20;26;27;33;36;41;6;21;24;32;33;42;21/11/2012
1211;3;15;16;21;27;33;1;3;7;24;36;43;24/11/2012
1212;2;5;6;13;42;44;7;17;22;30;37;45;28/11/2012
1213;1;12;14;22;24;36;4;6;12;21;33;37;01/12/2012
1214;16;19;24;36;37;40;5;10;13;14;35;42;05/12/2012
1215;2;5;7;12;21;25;10;11;14;26;27;37;08/12/2012
1216;2;13;17;19;44;45;8;20;33;35;37;42;12/12/2012
1217;3;23;28;33;38;43;2;4;9;23;44;45;15/12/2012
1218;9;10;20;21;30;44;2;4;11;12;21;39;19/12/2012
1219;8;10;12;18;26;45;9;20;25;38;43;45;22/12/2012
1220;2;11;24;27;30;44;19;21;32;39;41;44;26/12/2012
1221;6;12;15;23;25;45;7;16;20;24;31;39;29/12/2012
1222;9;10;11;21;27;42;1;6;7;10;15;18;02/01/2013
1223;9;11;17;20;33;42;15;19;23;37;39;40;05/01/2013
1224;5;9;12;13;22;26;1;13;14;25;29;44;09/01/2013
1225;1;12;16;28;30;34;10;26;29;30;39;43;12/01/2013
1226;13;21;22;30;31;36;10;11;21;31;38;39;16/01/2013
1227;1;6;17;18;34;37;19;21;25;29;33;41;19/01/2013
1228;3;8;16;18;31;44;2;4;13;16;32;42;23/01/2013
1229;7;9;11;12;15;35;10;24;26;31;38;43;26/01/2013
1230;18;20;31;40;41;45;11;15;21;23;27;37;30/01/2013
1231;4;7;16;22;30;33;2;11;12;18;19;41;02/02/2013
1232;8;16;24;30;34;43;3;6;7;14;17;22;06/02/2013
1233;21;28;31;39;41;45;10;13;18;27;39;44;09/02/2013
1234;4;5;8;19;24;41;3;4;11;12;29;45;13/02/2013
1235;1;9;10;20;26;43;3;16;27;29;36;38;16/02/2013
1236;2;6;10;13;30;39;1;9;19;23;26;34;20/02/2013
1237;5;6;9;11;16;43;2;7;14;29;36;37;23/02/2013
1238;1;16;24;34;39;40;12;15;23;31;33;35;27/02/2013
1239;1;2;5;13;34;36;1;14;17;18;27;44;02/03/2013
1240;8;11;15;34;43;44;5;10;21;26;27;41;06/03/2013
1241;10;16;18;24;32;44;5;7;15;17;35;45;09/03/2013
1242;5;11;16;18;35;39;18;35;38;39;44;45;13/03/2013
1243;4;6;8;14;31;43;3;9;10;16;23;30;16/03/2013
1244;17;31;32;36;41;45;1;15;21;22;33;41;20/03/2013
1245;7;17;19;24;27;43;1;4;14;21;25;45;23/03/2013
1246;8;21;31;36;40;42;2;9;28;31;33;45;27/03/2013
1247;3;17;28;29;34;43;9;14;33;34;35;44;30/03/2013
1248;2;9;19;20;38;39;11;24;25;29;44;45;03/04/2013
1249;6;11;13;29;40;44;6;21;29;35;43;44;06/04/2013
1250;2;4;10;12;14;42;9;19;21;22;36;44;10/04/2013
1251;13;15;23;31;40;41;13;19;29;33;37;39;13/04/2013
1252;10;16;18;22;34;39;7;12;24;27;29;35;17/04/2013
1253;10;14;30;34;35;39;2;4;6;26;27;45;20/04/2013
1254;15;19;24;26;29;30;5;16;18;24;30;38;24/04/2013
1255;3;11;14;17;29;34;2;10;14;15;17;44;27/04/2013
1256;4;10;23;35;37;41;5;20;28;32;37;41;01/05/2013
1257;1;15;21;25;36;42;5;6;7;18;26;36;04/05/2013
1258;1;8;14;23;30;32;2;6;14;27;30;31;08/05/2013
1259;19;29;30;31;39;41;4;12;14;35;42;45;11/05/2013
1260;8;11;27;33;35;41;2;4;14;23;29;35;15/05/2013
1261;2;3;13;21;38;40;3;11;23;29;32;40;18/05/2013
1262;7;12;27;28;39;43;8;14;19;28;37;39;22/05/2013
1263;12;13;23;30;31;32;2;9;29;31;32;39;25/05/2013
1264;12;15;19;37;40;43;4;20;23;32;38;42;29/05/2013
1265;3;8;20;24;29;45;1;17;25;26;31;39;01/06/2013
1266;17;22;30;36;40;44;9;28;32;34;35;37;05/06/2013
1267;1;13;14;18;33;43;10;18;20;25;28;45;08/06/2013
1268;1;3;5;7;27;30;1;7;9;19;31;38;12/06/2013
1269;1;14;17;20;30;43;1;3;9;21;25;44;15/06/2013
1270;17;18;31;33;39;40;1;8;13;17;21;32;19/06/2013
1271;9;16;24;25;33;45;4;17;18;22;30;32;22/06/2013
1272;4;6;13;18;31;42;1;3;4;21;26;27;26/06/2013
1273;2;23;25;31;34;43;11;15;20;23;25;32;29/06/2013
1274;3;6;9;16;28;40;14;19;20;25;31;36;03/07/2013
1275;3;9;10;17;26;44;19;25;31;32;39;42;06/07/2013
1276;19;29;30;34;38;40;13;14;26;29;33;41;10/07/2013
1277;4;13;16;21;30;43;2;9;11;15;17;23;13/07/2013
1278;13;15;20;22;41;44;9;13;21;27;30;35;17/07/2013
1279;1;3;7;25;35;43;11;19;26;28;39;41;20/07/2013
1280;1;3;18;27;32;43;1;4;5;15;23;43;24/07/2013
1281;8;14;22;23;32;45;1;6;9;11;12;40;27/07/2013
1282;13;14;16;37;40;45;1;7;14;19;36;45;31/07/2013
1283;11;19;33;36;37;45;14;21;23;27;31;39;03/08/2013
1284;6;10;22;24;28;32;3;5;9;30;35;38;07/08/2013
1285;21;28;33;37;43;44;5;10;13;30;41;43;10/08/2013
1286;17;25;29;30;31;34;12;20;30;31;42;44;14/08/2013
1287;2;5;16;18;38;40;1;8;15;26;28;31;17/08/2013
1288;2;5;11;19;30;36;8;10;12;26;27;34;21/08/2013
1289;12;19;21;28;31;33;4;6;28;31;34;37;24/08/2013
1290;7;11;16;21;30;43;1;8;30;31;32;43;28/08/2013
1291;10;11;17;25;26;41;7;8;27;31;40;42;31/08/2013
1292;10;27;28;38;39;42;4;5;8;31;34;40;04/09/2013
1293;19;22;27;40;43;44;16;20;24;27;34;40;07/09/2013
1294;8;9;23;38;39;40;1;8;10;13;22;42;11/09/2013
1295;9;19;23;35;39;44;2;6;9;17;21;43;14/09/2013
1296;2;20;26;37;40;45;4;14;16;22;29;32;18/09/2013
1297;3;17;22;24;36;42;1;11;19;32;33;40;21/09/2013
1298;4;9;10;23;27;32;7;23;25;28;31;32;25/09/2013
